P1_ID de la respuesta;"P8_¿Ha leido la Politica de Acceso Abierto; disponible aqui: link?";P11_Sexo;P12_Edad;RANGO ETARIO;P13_Area del conocimiento en la cual se enmarca su quehacer;P14_OCDE;P16_Usted es una:;P17_Pais de residencia;P17_RECAT;"P18_Si su pais de residencia es Chile; por favor indique la region";P18_MACROZONA;P19_Nombre Institucion;P21_Sector al que pertenece la institucion;P22_Sector economico en el que se desempeña la institucion;P23_area del conocimiento en la cual se enmarca su quehacer2;P26_Cargo dentro de la institucion de quien responde;P27_CARGO_RECAT;P29_Respecto del objetivo de esta politica ¿Que tan de acuerdo o en desacuerdo esta usted?;p29_recat;"P30_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?";p30_recat;"P31_En su opinion; ¿hay otros aspectos que deberian incluirse dentro del objetivo general?";"P32_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos:";p32_recat;P33_Respecto de los objetivos especificos de esta politica ¿Que tan de acuerdo o en desacuerdo esta usted?;p33_recat;"P35_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?4";p35_recat;"P36_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de los objetivos especificos?";"P37_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos:5";p37_recat;P38_Sobre lo anterior:  Indique su nivel de acuerdo o desacuerdo respecto a las dos fases de implementacion que señala la Politica de Acceso Abierto;p38_recat;"P39_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta? ";p39_recat;"P40_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de la implementacion de la Politica de Acceso Abierto?";"P41_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos.";p41_recat;"P42_Por favor; señale su nivel de acuerdo o desacuerdo respecto de esta obligacion:";p42_recat;"P43_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?6";P43_RECAT;"P44_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de las obligaciones indicadas en el parrafo?";"P45_Si respondio afirmativamente; por favor; indique cuales deberian ser esos aspectos:";P45_RECAT;"P46_De acuerdo a lo descrito; señale su nivel de acuerdo o desacuerdo respecto de esta obligacion.";P46_RECAT;"P47_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?7";P47_RECAT;"P48_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de las obligaciones indicadas para los datos de investigacion?";"P49_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos:8";P49_RECAT;"P50_Por favor; señale su nivel de acuerdo o desacuerdo respecto de estas acciones:";P50_RECAT;"P51_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?9";p51_recat;"P52_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de las acciones que debe ejecutar la ANID para implementar la Politica de Acceso Abierto?";"P53_Por favor; indique cuales deberian ser esos aspectos:";p53_recat;P54_¿Que otros aspectos usted considera que debiesen ser abordados en la Politica de Acceso Abierto y_o en las acciones para su implementacion?;p54_recat
650;Si;Mujer;39;ENTRE 31 Y 40;MICROBIOLOGIA;CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;"en algunos casos la informacion contenida en las tesis es mucho mas especifica que la publicada en los papers que se desprenden de dichas tesis; por lo que no considero aporpiado en un 100% que las tesis sean compartidas; es preferible compartir los papers aunque sean de pago";1;Si;"El costo de acceso a los papers de revistas que deben pagarse; para acceder al articulo; debiera ser de parte esta politica tambien";1;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"si el trabajo publicado no fue cubierto por la beca o el proyecto que financiaba la investigacion; si debiera pagarse por acceso a el; pero si el articulo quedara en un repositorio; los usuarios no debieran ser quienes paguen por este acceso; si no que debiera ser la ANID";1;No;;;No responde;NS_NR;;;No responde;;;No responde;NS_NR;;;No responde;;;Ni acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;;;No;;;"Deberia ser parte de la politica la difusion en medio masivos de los resultados de la investigacion. O sea; ademas de incluir la publicacion en revistas indexadas; generar la obligatoriedad de realizar difusion al publico general de los resultados de la investigacion; ya sea en seminarios; trabajos con escuelas; alumnos de pregrado o  similares";1
652;Si;Mujer;35;ENTRE 31 Y 40;ANDROLOGIA;MEDICINA Y CIENCIAS DE LA SALUD;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;Ni acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;"Estoy de acuerdo en que las publicaciones que se generen sean publicas; no asi los datos no procesados.";1;No;;;Ni acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
653;Si;Hombre;35;ENTRE 31 Y 40;OTROS TEMAS DE MEDICINA CLINICA;MEDICINA Y CIENCIAS DE LA SALUD;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;;;Si;cuidar los datos de investigacion (datos brutos) que se daran a conocer antes d euna futura publicacion;1;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Ni acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;;;No;;;;
656;Si;Mujer;47;ENTRE 41 Y 50;OTRAS CIENCIAS MEDICAS;MEDICINA Y CIENCIAS DE LA SALUD;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Disponibilidad de informacion
Generacion de nuevos estudios
Acceso a informacion actualizada
Integracion de areas de estudio";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Mi respuesta; se basa en los objetivos especificos propuestos.";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;Es importante considerar las restricciones o derechos legales de cada revista.;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Esta muy claro en la propuesta.;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;"Sin embargo; me preocupa el cumplimiento de los principios eticos y reglamentacion de los comite de etica respectivos.";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;"La propuesta es muy interesante y puede fortalecer el desarrollo de la investigacion. Seria interesante evaluar una marcha blanca de la politica; involucrando a distintos participantes; con la finalidad de identificar fortalezas y debilidades y tambien apoyarnos en la experiencia de otros paises en relacion al tema.";1
660;No;Hombre;34;ENTRE 31 Y 40;"BIOLOGIA MARINA; LIMNOLOGIA";CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"el conocimiento es importante difundirlo; puesto que con la ciencia se avanza en le desarrollo.";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
671;No responde;Hombre;25;MENOR DE 30;DISEÑO ARQUITECTONICO;HUMANIDADES;Persona Natural;BRASIL;EXTRANJERO;EXTRANJERO;EXTRANJERO;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;yo creo que esta tudo muy correcto!;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
672;Si;Hombre;25;MENOR DE 30;DISEÑO ARQUITECTONICO;HUMANIDADES;Persona Natural;BRASIL;EXTRANJERO;EXTRANJERO;EXTRANJERO;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;nenhum;
673;Si;Hombre;40;ENTRE 31 Y 40;ASTRONOMIA;CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;02. ANTOFAGASTA;NORTE;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;De acuerdo;Muy de acuerdo o de acuerdo;"La ruta verde estan muy positivo y es lo que hacemos en astronomia de manera habitual pero sin periodo de embargo. De hecho; por lo menos en astronomia; la ruta dorada tendria gastos muy elevados sin ventaja para el publico.";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"La publicacion de datos no es necesariamente posible. En los años que vienen en astronomia observatorios como el LSST va a generar una cantidad enorme de datos; superando las capacidades razonables de almacenamiento y podria tener un costo demasiado elevado conservar los datos procesados y utilizados en una publicacion por un tiempo indefinido (podemos hablar facilmente de decenas de TB en ciertos casos).";1;No responde;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;"Pienso que no deberia construir nuevos base de datos de publicaciones pero reutilizar los bases existentes; por ejemplo arXiv cuyo uso es sistematico en astronomia. Ademas todos los tramites tienen que ser lo mas simples posible a fin de no tomar un tiempo excesivo a los academicos que ya tienen muy poco tiempo disponible para hacer investigaciones.";1
677;Si;Mujer;29;MENOR DE 30;OTRAS ESPECIALIDADES DE COMUNICACION Y MEDIOS;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;"Son Fondos Publicos; minimo es dar conocimiento con acceso abierto y gratuito a la poblacion que paga dicho conocimiento";1;Si;"TODOS los beneficiarios y beneficiarias de todos los programas; que sean total o parcialmente financiados con Fondos Publicos (lo señalan despues; pero seria bueno que quede claro en el Objetivo general).";1;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;Si;"""Todos los beneficiarios y beneficiarias de instrumentos administrados por la Agencia Nacional de Investigacion y Desarrollo; ANID; que hayan sido beneficiados total o parcialmente""";1;De acuerdo;Muy de acuerdo o de acuerdo;;;Si;"""Todos los beneficiarios y las beneficiarias que hayan sido beneficiados parcial o totalmente""";1;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;"En el caso de Proyectos que trabajen con Consentimiento Informado deben obligatoriamente declarar todo esto en dicho consentimiento; pues si son datos sensibles; podrian llegar a tener algun problema.";1
679;Si;Hombre;41;ENTRE 41 Y 50;MICROBIOLOGIA;CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Si hubo financiacion estatal; es dinero publico que debe repercutir en por lo menos disponibilizar estos resultados";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Ni de acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Los datos genomicos deberian ser depositados en el bases de datos publicas como el genbank y no en otras bases que tienen ciertas restricciones (por ejemplo el GSAID);1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;"Transparencia; equidad; reconocimiento y sanciones efectivas";1
683;Si;Hombre;67;MAYOR DE 60;CIRUGIA;MEDICINA Y CIENCIAS DE LA SALUD;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Los proyectos de investigacion con financiamiento publico son patrimonio del pais y se debe compartir;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Acceder; facilitar y promover   El conocimiento; y abrir sendas de nuevos conocimientos es una tarea permanente del estado!";1;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"Creo que el conocimiento debe estar al servicio del pais inmediatamente!! Y para ello debe contar con los recursos adecuados. El paper del silencio sismico Del area del terremoto el 2010 habia sido publicado en revista de habla inglesa que nadie leyo dos años antes. Mas de 400 muertos; destruccion  etc.";1;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"Las publicaciones con financiamiento del estado son propiedad publica. El autor y su equipo deben publicar en el extranjero; sin que se impida la publicacion en lengua nativa. Me parece que hace años que estamos llenado bases de datos en anglosajon de investigacion con dineros publico??";1;No;;;Ni acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;"Quedan excluidos de estas obligaciones aquellos datos de investigacion que deban mantenerse en confidencialidad. 
No entiendo porque esto?";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;"Se debe establecer que la investigaciones con fondos estales son patrimonio nacional; que el primer derecho es la publicacion en lengua nativa!  Y las empresas externas no pueden lucrar con las investigaciones hechas con recursos de de los estados; y que deberias circular libremente sin afectar la rigurosidad tecnica!";1;No responde;;;Nada mas;
686;Si;Mujer;40;ENTRE 31 Y 40;BIBLIOTECOLOGIA;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;"Podria indicarse despues de cuanto tiempo recogidos los datos; estos quedaran libres para su utilizacion para nuevas investigaciones.";1;Si;"Dentro de los beneficiarios del acceso del nuevo conocimiento; deberia incluirse a las instituciones estudiantiles (colegios y universidades); con el fin de promover la ciencia; principalmente en la formacion escolar (este acceso deberia demostrar a los niños; el rol de la ciencia para el desarrollo en un pais; lo que podria servir de motivacion para escoger carreras cientifico-tecnologicas).";1;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Reforzaria en los objetivos especificos la importancia de la difusion del nuevo conocimiento; financiado a traves de recursos publicos.";1;No responde;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;Si;"Clarificar si el repositorio donde se deben depositar las publicaciones; sera un repositorio nacional; un repositorio que escoja el autor; el repositorio que corresponde a la institucion donde cumple funciones el investigador.";1;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;"En la pagina 3 se afirma: ""Asimismo; y aunque Chile es lider en citaciones por documento a nivel latinoamericano; su produccion
cientifica a nivel global es escasa; lo que lo convierte en un consumidor neto de la literatura cientifica"" 
Revisados los antecedentes de SJR; existen otros paises con mejores indicadores de citaciones por documento a nivel latinoamericano. Sugiero para la redaccion: Chile es uno de los lideres. 
Tambien señalar que esta afirmacion considera indicadores de publicaciones indexadas en Scopus; pero no en WoS.";1
692;Si;Mujer;64;MAYOR DE 60;"BIOPRODUCTOS (PRODUCTOS QUE SE MANUFACTURAN USANDO BIOTECNOLOGIA COMO MATERIA PRIMA); BIOMATERIALES; BIOPLASTICOS; BIOCOMBUSTIBLES; QUIMICOS BRUTOS Y FINOS BIODERIVADOS; MATERIALES NUEVOS BIODERIVADOS";INGENIERIA Y TECNOLOGIA;Persona Natural;CHILE;CHILE;09. LA ARAUCANiA;SUR;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;Si se estan utilizando recursos publicos la informacion resultante debiera estar de acceso publico. A excepcion de aquella que este involucrada en patentes.;1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;"Me parece bien; pero debieran quedar afuera las Tesis que estan involucradas en patentes.";1;No;;;Ni de acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;"Debiera estar mas claro aun cuando se pasa a la segunda etapa ocurrira si en el plazo de dos años se recopilan suficientes antecedentes sobre el uso de la informacion; los costos asociados a su gestion y los gastos en que hoy incurren los investigadores y las investigadoras por publicar; y que hagan aconsejable pasar a la Ruta Dorada.
Que se entiende por ""recopilar suficientes antecedentes""??
Indicar valores que digan relacion con costos y gastos.
Expilcitar valores ; es vago indicar ""que hagan aconsejable pasar a la Ruta Dorada """;1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;Me parece bien.;;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"Creo que es suficiente con dejar de acceso publico  las publicaciones; pero no los datos.";1;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"El punto 3 Establecer los estandares de interoperabilidad para datos de investigacion y mantener un listado actualizado de repositorios de datos a ser utilizados en el cumplimiento de esta politica. 
Pienso que no corresponde.";1;No;;;"Ademas de las publicaciones ; debieran incluirse los  capitulos de Libro. 
Hacer un repositorio con los datos obtenidos en las investigaciones; no me parece.";1
699;Si;Mujer;45;ENTRE 41 Y 50;BIOTECNOLOGIA AGRICOLA Y BIOTECNOLOGIA ALIMENTARIA;CIENCIAS AGRICOLAS;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"Creo en la difusion de resultados y eso se hace a traves de publicaciones; publicar patentes; charlas; congresos; etc; pero es distinto tener que hacer publico los metadatos porque eso restringe la colaboracion de empresas y por ende; dificulta la innovacion y competividad del pais. Ademas; ya hay casos de patentes de grupos extranjeros con datos de chile. NO podemos permitir la fuga del conocimiento";1;Si;eliminar los datos de investigacion;1;En desacuerdo;Muy en desacuerdo o desacuerdo;"eliminaria este objetivo. No estoy de acuerdo en liberar datos de investigacion; Facilitar la reutilizacion de la informacion y los datos de investigacion mediante estandares de interoperabilidad para generar nuevo conocimiento";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;"consulta; que pasa si la revista de pago no permite divulgar la informacion? es decr; dejar el paper en el repositorio??";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy en desacuerdo;Muy en desacuerdo o desacuerdo;No estoy de acuerdo con liberacion de datos. Creo que atenta contra la competividad y la relacion con las empresas;1;No;;;Ni acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;;;No;;;"A mi juicio; si bien es cierto es una buena estrategia; la liberacion de datos atenta contra los proyectos de innovacion y que tienen contra partes privadas";1
702;Si;Hombre;39;ENTRE 31 Y 40;CIENCIAS DE LA COMPUTACION;CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;07. MAULE;CENTRO SUR;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;Si;Que pasa con las revistas que no permiten open access? Aun despues de un periodo de embargo? Queda prohibido publicar alli?;1;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
704;Si;Mujer;33;ENTRE 31 Y 40;GEOCIENCIAS;CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Ni de acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;"El paso a la RUTA VERDE me parece muy beneficioso; sin embargo el paso a la RUTA DORADA es mas complicado; debido a las malas practicas ejercidas por las editoriales prestadoras (predadory journals)  y  tambien por un numero importante de grandes editoriales como MDPI e incluso Nature con algunas de sus revistas Open Access (e.g. Scientific Reports). Como es sabido; el GOLD OPEN ACCESS crea situaciones que se transforman en pagar por publicar; y en la cual los comites editoriales se ven obligados a aceptar articulos que no han pasado el proceso de evaluacion por pares. En otros casos; el proceso de revision se ve claramente disminuido en su calidad; y en muchos casos resulta en revisiones incompletas y pobres; hechas por evaluadores poco calificados. Es cierto que esto ultimo se puede dar en todo tipo de publicaciones; sin embargo; pareciera que en el caso de muchas de las revistas open access; existiera un motivo ulterior para solicitar revisiones y aceptar a personas no idoneas. 
Solo para finalizar este punto; dada la heterogeneidad de las revistas que poseen open access exclusivo (especialmente aquellas pertenecientes a grandes conglomerados; en lugar de las dirigidas por sociedades cientificas); se hace dificil poder garantizar institucionalmente el pago del costo GOLD OPEN ACCESS.";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;"Ya es casi estandar solicitar los datos que dan origen a una publicacion por parte de las revistas cientificas; por lo que este criterio debiera ser facil de exigir.";1;Si;"Es evidente que existen situaciones en que los autores desean mantener el embargo de sus datos por un periodo de tiempo antes de disponerlos abiertamente. Es importante que la implementacion de esta medida considere esta necesidad por parte de los investigadores; y que a la vez sea efectiva en el momento de liberar los datos. El ejemplo son muchas tesis que son publicadas con embargos y luego de este periodo aun siguen sin estar disponibles por la mala mantencion de los sistemas.";1;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;"Como mencione anteriormente; existe un sinnumero de editoriales y publicaciones que han desvirtuado el acceso abierto con criterios rentistas; muchas de ellas reputadas (e.g. Nature) y por lo tanto se hace imperioso que esta Politica aborde esta problematica.";1
705;Si;Hombre;36;ENTRE 31 Y 40;QUIMICA ORGANICA;CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;05. VALPARAiSO;CENTRO;;;;;;;No sabe;NS_NR;;;No;;;No sabe;NS_NR;;;No responde;;;No sabe;NS_NR;;;No responde;;;No sabe;NS_NR;;;No responde;;;No sabe;NS_NR;;;No responde;;;No sabe;NS_NR;;;No responde;;;;
714;No;Mujer;27;MENOR DE 30;EDUCACION GENERAL;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;05. VALPARAiSO;CENTRO;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;No sabe;NS_NR;;;No;;;El financiamiento total de los proyectos y estudios de posgrado. Es necesario el financiamiento para lograr este objetivo.;1
719;Si;Mujer;42;ENTRE 41 Y 50;EPIDEMIOLOGIA;MEDICINA Y CIENCIAS DE LA SALUD;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Perpetuar politicas publicas que profundicen la asimetria de acceso al conocimiento va en contra del espiritu de la ciencia.
La ciencia debe poder ser accesible por todos y todas; sin distincion socioeconomica. 
Al ser proyectos financiados con fondos publicos; ese conocimiento pertenece a todos y todas; y su divulgacion en publicaciones cientificas tambien debe respetar eso.";1;No responde;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Agregaria que el acceso al conocimiento debe ser oportuno.
Ocultar el conocimiento en revistas con muros de pago puede poner en riesgo a la poblacion; y no es justo para quienes no pueden pagar por esas suscripciones; considerando que esos proyectos son desarrollados gracias a fondos publicos.";1;No responde;;;Muy en desacuerdo;Muy en desacuerdo o desacuerdo;"No estoy de acuerdo con respetar un embargo que puede durar hasta 24 meses.
No me parece.
Tampoco me parece que la segunda fase sea condicional; esa es la fase que se debiera implementar.
Cualquier otra; es mantener un sistema elitista de asimetria de acceso al conocimiento.";1;No responde;;;Muy en desacuerdo;Muy en desacuerdo o desacuerdo;No estoy de acuerdo con permitir periodos de embargo.;1;No responde;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Me parece excelente.;;No responde;;;De acuerdo;Muy de acuerdo o de acuerdo;"Seria mas estricta con definir que las publicaciones desarrolladas gracias a financiamientos publicos DEBEN ser publicadas en revistas Open Acces; sin periodos de embargo. Y que las Universidades revisen ademas sus presupuestos de convenios con Editoriales que mantienen las revistas bajo embargo u ocultas tras muros de pago.";1;No responde;;;"Me parece bien direccionada la propuesta pero bastante debil.
Esperaria un desarrollo de propuesta regional colaborativa; donde se dirijan los esfuerzos a corto y mediano plazo; tanto del pais como de la region; para disminuir las asimetrias de acceso al conocimiento; con directrices mas estrictas de indicacion de publicaciones para evitar que los proyectos financiados con presupuestos publicos queden ocultos en revistas de pago o tras periodos de embargo que pueden durar hasta dos años. El conocimiento no puede mantenerse oculto por dos años; con el permiso del mismo gobierno que financio esos proyectos de investigacion. Eso me parece un desproposito.";1
722;No;Hombre;35;ENTRE 31 Y 40;OTRAS ESPECIALIDADES DEL ARTE;HUMANIDADES;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;El hecho de que recursos publicos financien esas investigaciones sin duda las deberia comprometer a autorizar la divulgacion de los resultados ya que se vuelven elementos valiosos para otras investigaciones o desarrollo de la disciplina que las comprenden.;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Estoy de acuerdo con ellos como estan dispuestos.;1;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"La duracion del embargo es extensa; considerando que la investigacion en si misma ya demorara un tiempo considerable; los resultados se pondrian a disposicion de forma tardia. A pesar que es comprensible el embargo para efectos de la publicacion; seria important evaluar otros caminos de puesta a disposicion de resultados transitorio que sea paralelo al embargo pero que permita un acceso a parte de ellos por lo menos; no 24 meses despues.";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Debe asegurarse de forma clara y explicita en el convenio y bases concursales  que al aceptar los fondos sus resultados seran puestos a disposicion sin costo; para que no existan dudas; complicaciones o quejas posteriores.";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
723;No;Hombre;42;ENTRE 41 Y 50;PERIODISMO;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;No sabe;NS_NR;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
726;Si;Hombre;53;ENTRE 51 Y 60;SOCIOLOGIA;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;La investigacion financiada con recursos publicos debe incrementar el acervo del pais;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;--;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;*-;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;-;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
